x,Users
2015-10-02,943
2015-10-03,572
2015-10-04,177
2015-10-05,116
2015-10-06,44
2015-10-07,24
2015-10-08,24
2015-10-09,663
2015-10-10,295
2015-10-11,332
2015-10-12,1415
2015-10-13,728
2015-10-14,242
2015-10-15,203
2015-10-16,178
2015-10-17,65
2015-10-18,95
2015-10-19,107
2015-10-20,169
2015-10-21,119
2015-10-22,58
2015-10-23,43
2015-10-24,65
2015-10-25,40
2015-10-26,63
2015-10-27,39
2015-10-28,44
2015-10-29,48
2015-10-30,34
2015-10-31,26
2015-11-01,34
2015-11-02,44
