x,Users
2014-11-03,58
2014-11-04,4971
2014-11-05,592
2014-11-06,271
2014-11-07,122
2014-11-08,43
2014-11-09,33
2014-11-10,25
2014-11-11,28
2014-11-12,116
2014-11-13,37
2014-11-14,29
2014-11-15,20
2014-11-16,10
2014-11-17,12
2014-11-18,16
2014-11-19,14
2014-11-20,14
2014-11-21,18
2014-11-22,13
2014-11-23,12
2014-11-24,15
2014-11-25,20
2014-11-26,15
2014-11-27,13
2014-11-28,15
2014-11-29,13
2014-11-30,17
2014-12-01,14
2014-12-02,11
2014-12-03,8
